[CPU 13:54] cores=1.04  103.7% of 1 core  4.3% of 24-core  RSS=9.29 GB
[CPU 14:05] cores=1.04  103.6% of 1 core  4.3% of 24-core  RSS=10.15 GB
[CPU 14:16] cores=1.04  103.5% of 1 core  4.3% of 24-core  RSS=12 GB
[CPU 14:27] cores=1.04  103.5% of 1 core  4.3% of 24-core  RSS=9.22 GB
[CPU 14:38] cores=1.04  103.7% of 1 core  4.3% of 24-core  RSS=10.05 GB
[CPU 14:49] cores=1.03  103% of 1 core  4.3% of 24-core  RSS=11.34 GB
[CPU 15:00] cores=1.03  103.4% of 1 core  4.3% of 24-core  RSS=12.83 GB
[CPU 15:11] cores=1.03  103.1% of 1 core  4.3% of 24-core  RSS=10.26 GB
[CPU 15:22] cores=1.03  103.4% of 1 core  4.3% of 24-core  RSS=10.94 GB
[CPU 15:33] cores=1.04  104.1% of 1 core  4.3% of 24-core  RSS=12.03 GB
[CPU 15:44] cores=15.89  1588.9% of 1 core  66.2% of 24-core  RSS=29.49 GB
[CPU 15:54] process not running — sampler exiting
